fatal: logger fatal
error: logger error
error: Usuario no autenticado
error: Usuario no autenticado
error: Usuario no autenticado
error: Usuario no autenticado
error: Usuario ya existente
error: Usuario no autenticado
error: Usuario no autenticado
error: Usuario no autenticado
error: Usuario no autenticado
error: Usuario no autenticado
error: Usuario no autenticado
error: Usuario no autenticado
error: Usuario no autenticado
error: Usuario no autenticado
error: Usuario no autenticado
error: Usuario no autenticado
error: Usuario no autenticado
error: Usuario no autenticado
error: Usuario no autenticado
error: Usuario no autenticado
error: Usuario no autenticado
error: Usuario no autenticado
error: Usuario no autenticado
error: Usuario no autenticado
error: Usuario no autenticado
error: Usuario no autenticado
